業種,大手,それ以外
1050鉱業2エネルギー資源 ,大手エネルギー資源企業,某エネルギー資源企業
2050建設業3建設・資材 ,大手建設・建材会社,某建設・建材会社
3050食料品1食品 ,大手食品会社,某食品会社
3100繊維製品4素材・化学 ,大手繊維関連企業,某繊維関連企業
3150パルプ・紙4素材・化学 ,大手製紙会社,某製紙会社
3200化学4素材・化学 ,大手化学品会社,某化学品会社
3250医薬品5医薬品 ,大手医薬品会社,某医薬品会社
3300石油・石炭製品2エネルギー資源 ,大手石油製品会社,某石油製品会社
3350ゴム製品6自動車・輸送機 ,大手ゴム製品会社,某ゴム製品会社
3400ガラス・土石製品3建設・資材 ,,
3450鉄鋼7鉄鋼・非鉄 ,,
3500非鉄金属7鉄鋼・非鉄 ,,
3550金属製品3建設・資材 ,,
3600機械8機械 ,,
3650電気機器9電機・精密 ,,
3700輸送用機器6自動車・輸送機 ,,
3750精密機器9電機・精密 ,,
3800その他製品10情報通信・サービスその他 ,,
4050電気・ガス業11電力・ガス ,,
5050陸運業12運輸・物流 ,,
50水産・農林業1食品 ,,
5100海運業12運輸・物流 ,,
5200倉庫・運輸関連業12運輸・物流 ,,
5250情報・通信業10情報通信・サービスその他 ,,
6050卸売業13商社・卸売 ,,
6100小売業14小売 ,,
7050銀行業15銀行 ,,
7100証券、商品先物取引業16金融（除く銀行） ,,
7150保険業16金融（除く銀行） ,,
7200その他金融業16金融（除く銀行） ,,
8050不動産業17不動産 ,,
9050サービス業10情報通信・サービスその他 ,,
